"TIPO_DATO_AVQ","Tipo dato","MISURA_AVQ","Misura","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2007","2007",6.1,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2008","2008",4.8,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2009","2009",5.5,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2010","2010",5.4,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2011","2011",5.1,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2012","2012",4.5,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2013","2013",3.9,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2014","2014",4.5,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2015","2015",5.5,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2016","2016",4.1,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2017","2017",4.2,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2018","2018",6.2,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2019","2019",5.4,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2020","2020",4.7,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2021","2021",4.5,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2022","2022",4.3,,
"3_LUNCH_CANT","pranzo in mensa","HSC","per 100 persone con le stesse caratteristiche","2","femmine","Y35-44","35-44 anni","2023","2023",6.7,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","1994","1994",13.1,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","1995","1995",14.9,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","1996","1996",18,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","1997","1997",16.6,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","1998","1998",16.3,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","1999","1999",16.8,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2000","2000",17,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2001","2001",14.2,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2002","2002",17,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2003","2003",15.9,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2005","2005",18.2,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2006","2006",16.6,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2007","2007",18,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2008","2008",18.4,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2009","2009",19.4,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2010","2010",19.1,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2011","2011",15.5,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2012","2012",16.8,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2013","2013",19.8,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2014","2014",19.2,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2015","2015",18.9,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2016","2016",17.4,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2017","2017",19.7,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2018","2018",16.5,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2019","2019",19.2,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2020","2020",16.8,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2021","2021",18.4,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2022","2022",19.5,,
"3_MMEAL_DIN","pasto principale la cena","HSC","per 100 persone con le stesse caratteristiche","9","totale","Y11-14","11-14 anni","2023","2023",23.6,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","1994","1994",0,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","1995","1995",0,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","1996","1996",12129,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","1997","1997",11864,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","1998","1998",11769,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","1999","1999",11428,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2000","2000",11018,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2001","2001",10835,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2002","2002",11062,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2003","2003",11218,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2005","2005",12310,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2006","2006",12058,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2007","2007",12346,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2008","2008",12564,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2009","2009",12402,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2010","2010",12377,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2011","2011",12442,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2012","2012",12458,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2013","2013",12526,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2014","2014",12231,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2015","2015",12391,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2016","2016",12050,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2017","2017",11504,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2018","2018",11094,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2019","2019",10774,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2020","2020",10810,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2021","2021",10624,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2022","2022",10582,,
"3_MILK_BREAK","colazione con latte e del cibo","THV","valori in migliaia","1","maschi","Y_GE3","3 anni e più","2023","2023",10130,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","1994","1994",447,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","1995","1995",385,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","1996","1996",455,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","1997","1997",429,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","1998","1998",460,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","1999","1999",387,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2000","2000",389,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2001","2001",338,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2002","2002",418,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2003","2003",390,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2005","2005",337,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2006","2006",338,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2007","2007",303,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2008","2008",344,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2009","2009",320,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2010","2010",348,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2011","2011",322,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2012","2012",341,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2013","2013",410,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2014","2014",360,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2015","2015",363,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2016","2016",309,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2017","2017",360,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2018","2018",285,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2019","2019",309,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2020","2020",214,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2021","2021",248,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2022","2022",294,,
"3_MMEAL_DIN","pasto principale la cena","THV","valori in migliaia","2","femmine","Y20-24","20-24 anni","2023","2023",320,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","1994","1994",3271,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","1995","1995",3020,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","1996","1996",2851,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","1997","1997",2808,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","1998","1998",2572,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","1999","1999",2422,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2000","2000",2203,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2001","2001",2211,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2002","2002",2115,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2003","2003",2013,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2005","2005",2045,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2006","2006",1991,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2007","2007",1965,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2008","2008",1834,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2009","2009",1862,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2010","2010",1892,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2011","2011",1931,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2012","2012",1971,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2013","2013",1911,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2014","2014",1878,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2015","2015",1789,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2016","2016",1802,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2017","2017",1814,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2018","2018",1729,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2019","2019",1833,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2020","2020",1801,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2021","2021",1826,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2022","2022",1836,,
"3_MMEAL_LUNCH","pasto principale il pranzo","THV","valori in migliaia","9","totale","Y20-24","20-24 anni","2023","2023",1752,,
"3_ADEQ_BREAK","colazione adeguata (con latte e/o del cibo)","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE3","3 anni e più","1994","1994",67.8,,
"3_ADEQ_BREAK","colazione adeguata (con latte e/o del cibo)","HSC","per 100 persone con le stesse caratteristiche","1","maschi","Y_GE3","3 anni e più","1995","1995",69.7,,
